Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_AG,Women's Basketball,Head Coach,Male-Black,2,2,1,1,1,2,2,2
Division I_FBS_AG,Women's Basketball,Head Coach,Male-Other,1,0,1,0,0,1,1,1
Division I_FBS_AG,Women's Basketball,Head Coach,Male-White,18,21,20,23,20,19,22,19
Division I_FBS_AG,Women's Basketball,Student-Athlete,Female-Black,456,465,489,503,502,473,479,436
Division I_FBS_AG,Women's Basketball,Student-Athlete,Female-Other,106,130,151,163,182,197,229,247
Division I_FBS_AG,Women's Basketball,Student-Athlete,Female-White,238,242,233,249,229,240,209,218
Division I_FBS_AG,Women's Basketball,Student-Athlete,Male-Black,0,0,3,0,4,1,0,0
Division I_FBS_AG,Women's Basketball,Student-Athlete,Male-Other,2,0,5,0,0,9,0,0
Division I_FBS_AG,Women's Basketball,Student-Athlete,Male-White,0,0,12,0,25,10,0,0
Division I_FBS_AG,Women's Bowling,Assistant Coach,Female-Other,0,1,0,0,0,0,0,0
Division I_FBS_AG,Women's Bowling,Assistant Coach,Female-White,1,0,1,1,1,1,1,1
Division I_FBS_AG,Women's Bowling,Assistant Coach,Male-White,1,1,1,1,1,1,1,1
Division I_FBS_AG,Women's Bowling,Head Coach,Male-White,2,2,2,2,2,2,2,2
Division I_FBS_AG,Women's Bowling,Student-Athlete,Female-Black,0,0,1,1,1,1,1,0
Division I_FBS_AG,Women's Bowling,Student-Athlete,Female-Other,7,7,8,7,7,7,8,8
Division I_FBS_AG,Women's Bowling,Student-Athlete,Female-White,17,18,15,16,15,15,14,16
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Female-Black,7,4,2,2,2,4,1,1
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Female-Other,3,1,0,3,2,4,3,3
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Female-White,27,32,29,28,27,22,25,30
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Male-Black,18,18,19,10,9,9,11,12
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Male-Other,3,4,7,7,6,4,4,6
Division I_FBS_AG,Women's Cross Country,Assistant Coach,Male-White,53,62,77,63,53,66,61,68
Division I_FBS_AG,Women's Cross Country,Head Coach,Female-Black,4,3,1,2,2,2,3,2
Division I_FBS_AG,Women's Cross Country,Head Coach,Female-Other,1,0,0,0,0,0,0,0
Division I_FBS_AG,Women's Cross Country,Head Coach,Female-White,6,6,8,9,8,11,8,11
Division I_FBS_AG,Women's Cross Country,Head Coach,Male-Black,10,12,15,15,11,12,12,14
Division I_FBS_AG,Women's Cross Country,Head Coach,Male-Other,2,1,2,4,7,6,5,5
Division I_FBS_AG,Women's Cross Country,Head Coach,Male-White,35,39,40,38,38,37,37,35
Division I_FBS_AG,Women's Cross Country,Student-Athlete,Female-Black,96,62,72,40,52,57,47,51
Division I_FBS_AG,Women's Cross Country,Student-Athlete,Female-Other,212,227,211,220,222,235,270,285
Division I_FBS_AG,Women's Cross Country,Student-Athlete,Female-White,1111,1093,1178,1171,1132,1099,1097,1037
Division I_FBS_AG,Women's Cross Country,Student-Athlete,Male-Other,0,0,0,0,0,5,0,0
Division I_FBS_AG,Women's Cross Country,Student-Athlete,Male-White,0,0,0,16,0,0,0,0
Division I_FBS_AG,Women's Rowing,Assistant Coach,Female-Other,7,3,0,2,4,5,10,8
Division I_FBS_AG,Women's Rowing,Assistant Coach,Female-White,44,52,59,54,50,63,64,67
Division I_FBS_AG,Women's Rowing,Assistant Coach,Male-Other,1,0,1,3,3,3,5,9
Division I_FBS_AG,Women's Rowing,Assistant Coach,Male-White,20,12,18,17,18,18,20,22
Division I_FBS_AG,Women's Rowing,Head Coach,Female-Other,0,1,1,1,2,0,0,1
Division I_FBS_AG,Women's Rowing,Head Coach,Female-White,13,10,9,9,8,10,11,10
Division I_FBS_AG,Women's Rowing,Head Coach,Male-Other,1,1,2,3,4,4,3,4
Division I_FBS_AG,Women's Rowing,Head Coach,Male-White,13,16,18,19,17,17,17,16
Division I_FBS_AG,Women's Rowing,Student-Athlete,Female-Black,48,50,68,67,68,56,51,51
Division I_FBS_AG,Women's Rowing,Student-Athlete,Female-Other,507,526,525,489,503,548,579,576
Division I_FBS_AG,Women's Rowing,Student-Athlete,Female-White,1728,1766,1925,1941,1985,1901,1931,1863
Division I_FBS_AG,Women's Rowing,Student-Athlete,Male-Other,0,0,0,0,0,0,0,1
Division I_FBS_AG,Women's Rowing,Student-Athlete,Male-White,0,0,0,0,0,0,1,1
Division I_FBS_AG,Women's Equestrian,Assistant Coach,Female-Other,0,0,0,0,0,0,0,2
Division I_FBS_AG,Women's Equestrian,Assistant Coach,Female-White,14,13,16,16,15,15,13,13
Division I_FBS_AG,Women's Equestrian,Assistant Coach,Male-White,0,0,1,0,0,0,0,0
Division I_FBS_AG,Women's Equestrian,Head Coach,Female-White,5,7,6,6,6,5,5,5
Division I_FBS_AG,Women's Equestrian,Head Coach,Male-Other,1,0,0,1,1,0,0,1
Division I_FBS_AG,Women's Equestrian,Head Coach,Male-White,1,2,2,1,1,2,2,1
Division I_FBS_AG,Women's Equestrian,Student-Athlete,Female-Black,0,0,0,0,1,1,1,1
Division I_FBS_AG,Women's Equestrian,Student-Athlete,Female-Other,24,21,22,23,19,15,33,24
Division I_FBS_AG,Women's Equestrian,Student-Athlete,Female-White,361,367,384,373,356,339,338,339
Division I_FBS_AG,Women's Fencing,Assistant Coach,Female-Other,0,0,0,1,1,1,1,1
Division I_FBS_AG,Women's Fencing,Assistant Coach,Female-White,0,1,3,1,2,1,0,1
Division I_FBS_AG,Women's Fencing,Assistant Coach,Male-Other,3,3,3,4,8,8,4,6
Division I_FBS_AG,Women's Fencing,Assistant Coach,Male-White,11,12,14,11,9,9,13,8
Division I_FBS_AG,Women's Fencing,Head Coach,Female-White,2,2,2,1,2,2,2,1
Division I_FBS_AG,Women's Fencing,Head Coach,Male-Other,0,2,1,1,1,1,0,1
Division I_FBS_AG,Women's Fencing,Head Coach,Male-White,5,4,6,7,6,6,6,7
